"Item_Title","Component_Title","Config_Title","Enrollment_Status","Program_Type","Program_Modality","Additional_COA_Components","COA_Component_Cost_Type","COA_Item_Applicability","Cost_Value","Aid_Year"
"Books","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_FULL_TIME","FULL_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_HALF_TIME","HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","0","2019-2020"
"Room and Board","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","0","2019-2020"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","0","2019-2020"
"Books","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","FIXED","0","2019-2020"
"Tuition","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_CERTIFICATE_UNDERGRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","CERTIFICATE_UNDERGRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_DOCTORAL_2019-2020_FULL_TIME","FULL_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_DOCTORAL_2019-2020_FULL_TIME","FULL_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_DOCTORAL_2019-2020_FULL_TIME","FULL_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_DOCTORAL_2019-2020_FULL_TIME","FULL_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_DOCTORAL_2019-2020_FULL_TIME","FULL_TIME","DOCTORAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_DOCTORAL_2019-2020_FULL_TIME","FULL_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_DOCTORAL_2019-2020_HALF_TIME","HALF_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_DOCTORAL_2019-2020_HALF_TIME","HALF_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_DOCTORAL_2019-2020_HALF_TIME","HALF_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_DOCTORAL_2019-2020_HALF_TIME","HALF_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_DOCTORAL_2019-2020_HALF_TIME","HALF_TIME","DOCTORAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_DOCTORAL_2019-2020_HALF_TIME","HALF_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_DOCTORAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_DOCTORAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_DOCTORAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_DOCTORAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_DOCTORAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_DOCTORAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_DOCTORAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","GROUND","","BUDGET","FIXED","0","2019-2020"
"Room and Board","BUDGET","GROUND_DOCTORAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","GROUND","","BUDGET","FIXED","0","2019-2020"
"Transportation Costs","BUDGET","GROUND_DOCTORAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","GROUND","","BUDGET","FIXED","0","2019-2020"
"Books","STANDARD","GROUND_DOCTORAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Resource Fee","STANDARD","GROUND_DOCTORAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","GROUND","","STANDARD","FIXED","0","2019-2020"
"Tuition","STANDARD","GROUND_DOCTORAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_DOCTORAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_DOCTORAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_DOCTORAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_DOCTORAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_DOCTORAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_DOCTORAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","DOCTORAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2019-2020_FULL_TIME","FULL_TIME","GRADUATE","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_GRADUATE_2019-2020_FULL_TIME","FULL_TIME","GRADUATE","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2019-2020_FULL_TIME","FULL_TIME","GRADUATE","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_GRADUATE_2019-2020_FULL_TIME","FULL_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_GRADUATE_2019-2020_FULL_TIME","FULL_TIME","GRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_GRADUATE_2019-2020_FULL_TIME","FULL_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2019-2020_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_GRADUATE_2019-2020_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2019-2020_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_GRADUATE_2019-2020_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_GRADUATE_2019-2020_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_GRADUATE_2019-2020_HALF_TIME","HALF_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_GRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_GRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_GRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_GRADUATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","BUDGET","FIXED","0","2019-2020"
"Room and Board","BUDGET","GROUND_GRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","BUDGET","FIXED","0","2019-2020"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","BUDGET","FIXED","0","2019-2020"
"Books","STANDARD","GROUND_GRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Resource Fee","STANDARD","GROUND_GRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","STANDARD","FIXED","0","2019-2020"
"Tuition","STANDARD","GROUND_GRADUATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","GRADUATE","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_GRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_GRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_GRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_GRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_GRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_GRADUATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","GRADUATE","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_FULL_TIME","FULL_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_HALF_TIME","HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","0","2019-2020"
"Room and Board","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","0","2019-2020"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","0","2019-2020"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","0","2019-2020"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_NOT_ATTENDING","NOT_ATTENDING","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","0","2019-2020"
"Personal Miscellaneous","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","GROUND_NON_CREDENTIAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","STANDARD","FIXED","140","2019-2020"
"Tuition","STANDARD","GROUND_NON_CREDENTIAL_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","NON_CREDENTIAL","GROUND","","STANDARD","PER_CREDIT","500","2019-2020"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2019-2020_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","ONLINE_ASSOCIATE_2019-2020_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2019-2020_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","ONLINE_ASSOCIATE_2019-2020_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2019-2020_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","100","2019-2020"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2019-2020_FULL_TIME","FULL_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","350","2019-2020"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2019-2020_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","ONLINE_ASSOCIATE_2019-2020_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2019-2020_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","ONLINE_ASSOCIATE_2019-2020_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2019-2020_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","100","2019-2020"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2019-2020_HALF_TIME","HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","400","2019-2020"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2019-2020"
"Room and Board","BUDGET","ONLINE_ASSOCIATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","3600","2019-2020"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","150","2019-2020"
"Books","STANDARD","ONLINE_ASSOCIATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","30","2019-2020"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","FIXED","100","2019-2020"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2019-2020_LESS_THAN_HALF_TIME","LESS_THAN_HALF_TIME","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","400","2019-2020"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","BUDGET","FIXED","0","2019-2020"
"Room and Board","BUDGET","ONLINE_ASSOCIATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","BUDGET","FIXED","0","2019-2020"
"Transportation Costs","BUDGET","ONLINE_ASSOCIATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","BUDGET","FIXED","0","2019-2020"
"Books","STANDARD","ONLINE_ASSOCIATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","0","2019-2020"
"Resource Fee","STANDARD","ONLINE_ASSOCIATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","STANDARD","FIXED","0","2019-2020"
"Tuition","STANDARD","ONLINE_ASSOCIATE_2019-2020_NOT_ATTENDING","NOT_ATTENDING","ASSOCIATE","ONLINE","","STANDARD","PER_CREDIT","0","2019-2020"
"Personal Miscellaneous","BUDGET","ONLINE_ASSOCIATE_2019-2020_THREE_QUARTER_TIME","THREE_QUARTER_TIME","ASSOCIATE","ONLINE","","BUDGET","FIXED","650","2019-2020"
