"Code_Number","Aid_Year","ISIR_Field_Name"
"115","2017-2018","NSLDSDISCHARGEDLOANFLAG"
"116","2017-2018","NSLDSACTIVEBANKRUPTCYFLAG"
"116","2017-2018","NSLDSDATABASERESULTSFLAG"
"119","2017-2018","DATEAPPLICATIONCOMPLETED"
"119","2017-2018","STUDENTMARITALSTATUS"
"119","2017-2018","TRANSACTIONRECEIPTDATE"
"120","2017-2018","DHSMATCHFLAG"
"121","2017-2018","PARENTSCONTRIBUTIONFROMASSETS"
"122","2017-2018","STUDENTSCONTRIBUTIONFROMASSETS"
"123","2017-2018","STUDENTSCONTRIBUTIONFROMASSETS"
"124","2017-2018","NSLDSDEFAULTEDLOANFLAG"
"124","2017-2018","NSLDSFRAUDLOANFLAG"
"126","2017-2018","PARENT1INCOMEEARNEDFROMWORK"
"126","2017-2018","PARENT2INCOMEEARNEDFROMWORK"
"126","2017-2018","PARENTSTAXRETURNFILINGSTATUS"
"126","2017-2018","STUDENTSINCOMEEARNEDFROMWORK"
"126","2017-2018","STUDENTSTAXRETURNFILINGSTATUS"
"129","2017-2018","PARENT1INCOMEEARNEDFROMWORK"
"129","2017-2018","PARENT2INCOMEEARNEDFROMWORK"
"129","2017-2018","PARENTSOTHERUNTAXEDINCOME"
"130","2017-2018","SPOUSESINCOMEEARNEDFROMWORK"
"130","2017-2018","STUDENTSINCOMEEARNEDFROMWORK"
"130","2017-2018","STUDENTSOTHERUNTAXEDINCOME"
"131","2017-2018","SPOUSESINCOMEEARNEDFROMWORK"
"131","2017-2018","STUDENTSINCOMEEARNEDFROMWORK"
"131","2017-2018","STUDENTSTAXRETURNCOMPLETED"
"132","2017-2018","NSLDSDATABASERESULTSFLAG"
"132","2017-2018","NSLDSDEFAULTEDLOANFLAG"
"132","2017-2018","NSLDSMATCHFLAG"
"133","2017-2018","NSLDSDATABASERESULTSFLAG"
"133","2017-2018","NSLDSFRAUDLOANCHANGEFLAG"
"133","2017-2018","NSLDSMATCHFLAG"
"133","2017-2018","NSLDSOVERPAYSCHANGEFLAG"
"134","2017-2018","NSLDSDEFAULTEDLOANFLAG"
"134","2017-2018","NSLDSDEFAULTEDLOANFLAG"
"134","2017-2018","NSLDSOVERPAYSCHANGEFLAG"
"135","2017-2018","NSLDSLOAN1CONTACTCODE"
"135","2017-2018","NSLDSLOAN2CONTACTCODE"
"135","2017-2018","NSLDSLOAN3CONTACTCODE"
"135","2017-2018","NSLDSLOAN4CONTACTCODE"
"135","2017-2018","NSLDSLOAN5CONTACTCODE"
"135","2017-2018","NSLDSLOAN6CONTACTCODE"
"136","2017-2018","FAAFEDERALSCHOOLCODE"
"137","2017-2018","NSLDSLOAN1CONTACTCODE"
"137","2017-2018","NSLDSLOAN2CONTACTCODE"
"137","2017-2018","NSLDSLOAN3CONTACTCODE"
"137","2017-2018","NSLDSLOAN4CONTACTCODE"
"137","2017-2018","NSLDSLOAN5CONTACTCODE"
"137","2017-2018","NSLDSLOAN6CONTACTCODE"
"138","2017-2018","NSLDSDATABASERESULTSFLAG"
"138","2017-2018","NSLDSMATCHFLAG"
"140","2017-2018","SSNMATCHFLAG"
"141","2017-2018","ALIENREGISTRATIONNUMBER"
"141","2017-2018","CITIZENSHIPSTATUS"
"141","2017-2018","DHSMATCHFLAG"
"142","2017-2018","ALIENREGISTRATIONNUMBER"
"142","2017-2018","CITIZENSHIPSTATUS"
"142","2017-2018","DHSMATCHFLAG"
"143","2017-2018","DHSMATCHFLAG"
"144","2017-2018","ALIENREGISTRATIONNUMBER"
"144","2017-2018","CITIZENSHIPSTATUS"
"144","2017-2018","DHSMATCHFLAG"
"145","2017-2018","SSNMATCHFLAG"
"146","2017-2018","SSACITIZENSHIPFLAG"
"148","2017-2018","PARENTSNUMBERINCOLLEGE"
"150","2017-2018","PARENTSBUSINESSANDORINVESTMENTFARMNETWORTH"
"150","2017-2018","PARENTSCASHSAVINGSANDCHECKING"
"150","2017-2018","PARENTSINVESTMENTNETWORTH"
"151","2017-2018","PARENTSBUSINESSANDORINVESTMENTFARMNETWORTH"
"151","2017-2018","PARENTSCASHSAVINGSANDCHECKING"
"151","2017-2018","PARENTSINVESTMENTNETWORTH"
"152","2017-2018","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"152","2017-2018","STUDENTSUSINCOMETAXPAID"
"153","2017-2018","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"153","2017-2018","STUDENTSUSINCOMETAXPAID"
"154","2017-2018","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"154","2017-2018","STUDENTSUSINCOMETAXPAID"
"155","2017-2018","STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM"
"155","2017-2018","STUDENTSUSINCOMETAXPAID"
"156","2017-2018","PARENTSTAXRETURNFILINGSTATUS"
"157","2017-2018","STUDENTSTAXRETURNFILINGSTATUS"
"161","2017-2018","VAMATCHFLAG"
"162","2017-2018","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"162","2017-2018","VAMATCHFLAG"
"162","2017-2018","VETERANOFUSARMEDFORCES"
"164","2017-2018","ASSUMEDPARENT1SSN"
"164","2017-2018","ASSUMEDPARENT2SSN"
"165","2017-2018","ORPHANWARDOFCOURTORFOSTERCARE"
"166","2017-2018","ORPHANWARDOFCOURTORFOSTERCARE"
"168","2017-2018","PARENTSMARITALSTATUS"
"168","2017-2018","PARENTSNUMBEROFFAMILYMEMBERS"
"169","2017-2018","STUDENTMARITALSTATUS"
"169","2017-2018","STUDENTSNUMBEROFFAMILYMEMBERS"
"173","2017-2018","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"173","2017-2018","VAMATCHFLAG"
"173","2017-2018","VETERANOFUSARMEDFORCES"
"175","2017-2018","STUDENTMARITALSTATUS"
"175","2017-2018","STUDENTSNUMBEROFFAMILYMEMBERS"
"176","2017-2018","STUDENTSNUMBEROFFAMILYMEMBERS"
"177","2017-2018","STUDENTSNUMBEROFFAMILYMEMBERS"
"178","2017-2018","PARENTSNUMBEROFFAMILYMEMBERS"
"179","2017-2018","STUDENTSNUMBEROFFAMILYMEMBERS"
"180","2017-2018","AREYOUONACTIVEDUTYINUSARMEDFORCES"
"180","2017-2018","VAMATCHFLAG"
"180","2017-2018","VETERANOFUSARMEDFORCES"
"190","2017-2018","NSLDSLOAN1CONTACTCODE"
"191","2017-2018","NSLDSLOAN1CONTACTCODE"
"195","2017-2018","NSLDSLOAN1CONTACTCODE"
"196","2017-2018","NSLDSLOAN1CONTACTCODE"
"198","2017-2018","NSLDSLOAN1CONTACTCODE"
"201","2017-2018","NSLDSLOAN1CONTACTCODE"
"202","2017-2018","NSLDSLOAN1CONTACTCODE"
"203","2017-2018","NSLDSLOAN1CONTACTCODE"
"205","2017-2018","NSLDSLOAN1CONTACTCODE"
"206","2017-2018","NSLDSLOAN1CONTACTCODE"
"209","2017-2018","NSLDSLOAN1CONTACTCODE"
"210","2017-2018","NSLDSLOAN1CONTACTCODE"
"211","2017-2018","NSLDSLOAN1CONTACTCODE"
"213","2017-2018","NSLDSLOAN1CONTACTCODE"
"214","2017-2018","NSLDSLOAN1CONTACTCODE"
"215","2017-2018","NSLDSLOAN1CONTACTCODE"
"216","2017-2018","NSLDSLOAN1CONTACTCODE"
"217","2017-2018","NSLDSLOAN1CONTACTCODE"
"218","2017-2018","NSLDSLOAN1CONTACTCODE"
"220","2017-2018","NSLDSLOAN1CONTACTCODE"
"222","2017-2018","NSLDSLOAN1CONTACTCODE"
"223","2017-2018","NSLDSLOAN1CONTACTCODE"
"224","2017-2018","NSLDSLOAN1CONTACTCODE"
"226","2017-2018","NSLDSLOAN1CONTACTCODE"
"227","2017-2018","NSLDSLOAN1CONTACTCODE"
"228","2017-2018","NSLDSLOAN1CONTACTCODE"
"229","2017-2018","NSLDSLOAN1CONTACTCODE"
"231","2017-2018","NSLDSLOAN1CONTACTCODE"
"232","2017-2018","NSLDSLOAN1CONTACTCODE"
"235","2017-2018","NSLDSLOAN1CONTACTCODE"
"238","2017-2018","NSLDSLOAN1CONTACTCODE"
"239","2017-2018","NSLDSLOAN1CONTACTCODE"
"254","2017-2018","NSLDSSUBSIDIZEDUSAGELIMITAPPLIESFLAG"
"255","2017-2018","NSLDSUNDERGRADUATECOMBINEDLOANLIMITFLAG"
"255","2017-2018","NSLDSUNDERGRADUATESUBSIDIZEDLOANLIMITFLAG"
"256","2017-2018","NSLDSGRADUATECOMBINEDLOANLIMITFLAG"
"256","2017-2018","NSLDSGRADUATESUBSIDIZEDLOANLIMITFLAG"
"257","2017-2018","NSLDSGRADUATECOMBINEDLOANLIMITFLAG"
"257","2017-2018","NSLDSGRADUATESUBSIDIZEDLOANLIMITFLAG"
"258","2017-2018","NSLDSUNDERGRADUATECOMBINEDLOANLIMITFLAG"
"258","2017-2018","NSLDSUNDERGRADUATESUBSIDIZEDLOANLIMITFLAG"
"260","2017-2018","NSLDSSUBSIDIZEDUSAGELIMITAPPLIESFLAG"
"267","2017-2018","NSLDSSUBSIDIZEDUSAGELIMITAPPLIESFLAG"
"272","2017-2018","NSLDSFRAUDLOANFLAG"
"289","2017-2018","NSLDSDATABASERESULTSFLAG"
"289","2017-2018","NSLDSMATCHFLAG"
"289","2017-2018","NSLDSTEACHGRANTOVERPAYFLAG"
"290","2017-2018","NSLDSDATABASERESULTSFLAG"
"290","2017-2018","NSLDSMATCHFLAG"
"290","2017-2018","NSLDSTEACHGRANTOVERPAYFLAG"
"291","2017-2018","NSLDSDATABASERESULTSFLAG"
"291","2017-2018","NSLDSMATCHFLAG"
"291","2017-2018","NSLDSTEACHGRANTOVERPAYFLAG"
"292","2017-2018","NSLDSDATABASERESULTSFLAG"
"292","2017-2018","NSLDSMATCHFLAG"
"292","2017-2018","NSLDSTEACHGRANTOVERPAYFLAG"
"293","2017-2018","NSLDSDATABASERESULTSFLAG"
"293","2017-2018","NSLDSMATCHFLAG"
"293","2017-2018","NSLDSTEACHGRANTOVERPAYFLAG"
"294","2017-2018","NSLDSDATABASERESULTSFLAG"
"294","2017-2018","NSLDSMATCHFLAG"
"294","2017-2018","NSLDSTEACHGRANTOVERPAYFLAG"
"295","2017-2018","SPECIALCIRCUMSTANCESFLAG"
"296","2017-2018","SPECIALCIRCUMSTANCESFLAG"
"298","2017-2018","STUDENTSDODMATCHFLAG"
"299","2017-2018","SPECIALCIRCUMSTANCESFLAG"
"300","2017-2018","SPECIALCIRCUMSTANCESFLAG"
"302","2017-2018","MARITALSTATUSDATE"
"302","2017-2018","STUDENTMARITALSTATUS"
"308","2017-2018","PARENTSMARITALSTATUS"
"308","2017-2018","PARENTSMARITALSTATUSDATE"
"309","2017-2018","NSLDSDATABASERESULTSFLAG"
"309","2017-2018","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"309","2017-2018","NSLDSMATCHFLAG"
"310","2017-2018","NSLDSDATABASERESULTSFLAG"
"310","2017-2018","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"310","2017-2018","NSLDSMATCHFLAG"
"311","2017-2018","NSLDSDATABASERESULTSFLAG"
"311","2017-2018","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"311","2017-2018","NSLDSMATCHFLAG"
"312","2017-2018","NSLDSDATABASERESULTSFLAG"
"312","2017-2018","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"312","2017-2018","NSLDSMATCHFLAG"
"313","2017-2018","NSLDSDATABASERESULTSFLAG"
"313","2017-2018","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"313","2017-2018","NSLDSMATCHFLAG"
"314","2017-2018","NSLDSDATABASERESULTSFLAG"
"314","2017-2018","NSLDSIRAQAFGHANISTANOVERPAYFLAG"
"314","2017-2018","NSLDSMATCHFLAG"
"345","2017-2018","NSLDSPELLLIFETIMELIMITFLAG"
"346","2017-2018","NSLDSPELLLIFETIMELIMITFLAG"
"347","2017-2018","NSLDSPELLLIFETIMELIMITFLAG"
"348","2017-2018","NSLDSPELLLIFETIMELIMITFLAG"
"349","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"350","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"351","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"352","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"353","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"354","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"355","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"356","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"357","2017-2018","NSLDSPELLLIFETIMEELIGIBILITYUSED"
"359","2017-2018","NSLDSUNUSUALENROLLMENTHISTORYFLAG"
"360","2017-2018","NSLDSUNUSUALENROLLMENTHISTORYFLAG"
"361","2017-2018","PARENTSTAXRETURNFILINGSTATUS"
"362","2017-2018","PARENTSTAXRETURNFILINGSTATUS"
"363","2017-2018","PARENTSTAXRETURNFILINGSTATUS"
"364","2017-2018","PARENTSTAXRETURNFILINGSTATUS"
"365","2017-2018","STUDENTSTAXRETURNFILINGSTATUS"
"366","2017-2018","STUDENTSTAXRETURNFILINGSTATUS"
"367","2017-2018","STUDENTSTAXRETURNFILINGSTATUS"
"368","2017-2018","STUDENTSTAXRETURNFILINGSTATUS"
"369","2017-2018","PARENT1SSNMATCHFLAG"
"369","2017-2018","PARENT2SSNMATCHFLAG"
"369","2017-2018","PARENTSMARITALSTATUS"
"370","2017-2018","PARENT1SSNMATCHFLAG"
"370","2017-2018","PARENT2SSNMATCHFLAG"
"370","2017-2018","PARENTSMARITALSTATUS"
"371","2017-2018","PARENT1SSNMATCHFLAG"
"372","2017-2018","PARENT2SSNMATCHFLAG"
"373","2017-2018","PARENT1SSNMATCHFLAG"
"373","2017-2018","PARENT2SSNMATCHFLAG"
"373","2017-2018","PARENTSMARITALSTATUS"
"374","2017-2018","PARENT1SSNMATCHFLAG"
"375","2017-2018","PARENT1SSNMATCHFLAG"
"375","2017-2018","PARENT2SSNMATCHFLAG"
"375","2017-2018","PARENTSMARITALSTATUS"
"376","2017-2018","PARENT2SSNMATCHFLAG"
"377","2017-2018","PARENT1SSNMATCHFLAG"
"377","2017-2018","PARENT2SSNMATCHFLAG"
"377","2017-2018","PARENTSMARITALSTATUS"
"378","2017-2018","PARENT1SSNMATCHFLAG"
"379","2017-2018","PARENT1SSNMATCHFLAG"
"379","2017-2018","PARENT2SSNMATCHFLAG"
"379","2017-2018","PARENTSMARITALSTATUS"
"380","2017-2018","PARENT1SSNMATCHFLAG"
"380","2017-2018","PARENT2SSNMATCHFLAG"
"380","2017-2018","PARENTSMARITALSTATUS"
"381","2017-2018","PARENT1SSNMATCHFLAG"
"381","2017-2018","PARENT2SSNMATCHFLAG"
"381","2017-2018","PARENTSMARITALSTATUS"
"382","2017-2018","PARENT1SSNMATCHFLAG"
"382","2017-2018","PARENT2SSNMATCHFLAG"
"382","2017-2018","PARENTSMARITALSTATUS"
"383","2017-2018","PARENT1SSNMATCHFLAG"
"383","2017-2018","PARENT2SSNMATCHFLAG"
"383","2017-2018","PARENTSMARITALSTATUS"
"384","2017-2018","PARENT1SSNMATCHFLAG"
"384","2017-2018","PARENT2SSNMATCHFLAG"
"385","2017-2018","PARENT1SSNMATCHFLAG"
"385","2017-2018","PARENT2SSNMATCHFLAG"
"385","2017-2018","PARENTSMARITALSTATUS"
"386","2017-2018","PARENT1SSNMATCHFLAG"
"386","2017-2018","PARENT2SSNMATCHFLAG"
"386","2017-2018","PARENTSMARITALSTATUS"
"387","2017-2018","PARENT1DATEOFBIRTH"
"387","2017-2018","PARENT1LASTNAME"
"387","2017-2018","PARENT1SOCIALSECURITYNUMBER"
"387","2017-2018","PARENT2DATEOFBIRTH"
"387","2017-2018","PARENT2LASTNAME"
"387","2017-2018","PARENT2SOCIALSECURITYNUMBER"
"387","2017-2018","PARENTSMARITALSTATUS"
"388","2017-2018","PARENT1SOCIALSECURITYNUMBER"
"389","2017-2018","PARENT2SOCIALSECURITYNUMBER"
"392","2017-2018","NSLDSUNDERGRADUATECOMBINEDLOANLIMITFLAG"
"392","2017-2018","NSLDSUNDERGRADUATESUBSIDIZEDLOANLIMITFLAG"
"393","2017-2018","NSLDSUNDERGRADUATECOMBINEDLOANLIMITFLAG"
"393","2017-2018","NSLDSUNDERGRADUATESUBSIDIZEDLOANLIMITFLAG"
"394","2017-2018","PARENT1SOCIALSECURITYNUMBER"
"394","2017-2018","PARENT2SOCIALSECURITYNUMBER"
"395","2017-2018","DEPENDENTSTUDENTSINCOMECONTRIBUTION"
"397","2017-2018","STUDENTSTOTALINCOME"
"007","2018-2019","PARENT1SSNMATCHFLAG"
"007","2018-2019","PARENT2SSNMATCHFLAG"
"007","2018-2019","PARENTSMARITALSTATUS"
"008","2018-2019","PARENT1SSNMATCHFLAG"
"008","2018-2019","PARENT2SSNMATCHFLAG"
"008","2018-2019","PARENTSMARITALSTATUS"
"010","2018-2019","NSLDSDATABASERESULTSFLAG"
"010","2018-2019","NSLDSMATCHFLAG"
"010","2018-2019","NSLDSSEOGOVERPAYFLAG"
"011","2018-2019","PARENT1SSNMATCHFLAG"
"011","2018-2019","PARENT2SSNMATCHFLAG"
"011","2018-2019","PARENTSMARITALSTATUS"
"012","2018-2019","PARENT1SSNMATCHFLAG"
"012","2018-2019","PARENT2SSNMATCHFLAG"
"012","2018-2019","PARENTSMARITALSTATUS"
"014","2018-2019","PARENT1SSNMATCHFLAG"
"014","2018-2019","PARENT2SSNMATCHFLAG"
"014","2018-2019","PARENTSMARITALSTATUS"
"015","2018-2019","PARENT1SSNMATCHFLAG"
"015","2018-2019","PARENT2SSNMATCHFLAG"
"015","2018-2019","PARENTSMARITALSTATUS"
"016","2018-2019","PARENT1LASTNAME"
"016","2018-2019","PARENT1SOCIALSECURITYNUMBER"
"016","2018-2019","PARENT1SSNMATCHFLAG"
"016","2018-2019","PARENT2DATEOFBIRTH"
"016","2018-2019","PARENT2LASTNAME"
"016","2018-2019","PARENT2SOCIALSECURITYNUMBER"
"016","2018-2019","PARENT2SSNMATCHFLAG"
"016","2018-2019","PARENTSMARITALSTATUS"
"017","2018-2019","PARENT1DATEOFBIRTH"
"017","2018-2019","PARENT1LASTNAME"
"017","2018-2019","PARENT1SOCIALSECURITYNUMBER"
"017","2018-2019","PARENT1SSNMATCHFLAG"
"017","2018-2019","PARENT2LASTNAME"
"017","2018-2019","PARENT2SOCIALSECURITYNUMBER"
"017","2018-2019","PARENT2SSNMATCHFLAG"
"017","2018-2019","PARENTSMARITALSTATUS"
"018","2018-2019","DATEOFBIRTH"
"019","2018-2019","PARENT1SSNMATCHFLAG"
"019","2018-2019","PARENT2SSNMATCHFLAG"
"019","2018-2019","PARENTSMARITALSTATUS"
"020","2018-2019","NSLDSDATABASERESULTSFLAG"
"020","2018-2019","NSLDSMATCHFLAG"
"020","2018-2019","NSLDSPELLOVERPAYFLAG"
"021","2018-2019","PARENT1SSNMATCHFLAG"
"021","2018-2019","PARENT2SSNMATCHFLAG"
"021","2018-2019","PARENTSMARITALSTATUS"
"022","2018-2019","PARENT1SSNMATCHFLAG"
"022","2018-2019","PARENT2SSNMATCHFLAG"
"022","2018-2019","PARENTSMARITALSTATUS"
"024","2018-2019","SSNMATCHFLAG"
"024","2018-2019","STUDENTSSN"
"025","2018-2019","PARENT1SSNMATCHFLAG"
"025","2018-2019","PARENT2SSNMATCHFLAG"
"025","2018-2019","PARENTSMARITALSTATUS"
"026","2018-2019","SELECTIVESERVICEMATCHFLAG"
"027","2018-2019","PARENT1SSNMATCHFLAG"
"027","2018-2019","PARENTSMARITALSTATUS"
"028","2018-2019","SELECTIVESERVICEREGISTRATIONFLAG"
"029","2018-2019","PARENT2SSNMATCHFLAG"
"029","2018-2019","PARENTSMARITALSTATUS"
"030","2018-2019","SELECTIVESERVICEMATCHFLAG"
"031","2018-2019","SELECTIVESERVICEMATCHFLAG"
"032","2018-2019","PARENTSNUMBEROFFAMILYMEMBERS"
"033","2018-2019","SELECTIVESERVICEMATCHFLAG"
"033","2018-2019","SELECTIVESERVICEREGISTRATIONFLAG"
"034","2018-2019","PARENTSNUMBERINCOLLEGE"
"035","2018-2019","PARENTSCONTRIBUTION"
"036","2018-2019","PARENTSUSINCOMETAXPAID"
"038","2018-2019","NSLDSDATABASERESULTSFLAG"
"038","2018-2019","NSLDSMATCHFLAG"
"038","2018-2019","NSLDSPELLOVERPAYFLAG"
"039","2018-2019","NSLDSDATABASERESULTSFLAG"
"039","2018-2019","NSLDSMATCHFLAG"
"039","2018-2019","NSLDSPELLOVERPAYFLAG"
"040","2018-2019","PARENT1LASTNAME"
"040","2018-2019","PARENT1SOCIALSECURITYNUMBER"
"040","2018-2019","PARENT1SSNMATCHFLAG"
"040","2018-2019","PARENT2DATEOFBIRTH"
"040","2018-2019","PARENT2SOCIALSECURITYNUMBER"
"040","2018-2019","PARENT2SSNMATCHFLAG"
"040","2018-2019","PARENTSMARITALSTATUS"
"041","2018-2019","NSLDSDATABASERESULTSFLAG"
"041","2018-2019","NSLDSMATCHFLAG"
"041","2018-2019","NSLDSPELLOVERPAYFLAG"
"042","2018-2019","NSLDSDATABASERESULTSFLAG"
"042","2018-2019","NSLDSMATCHFLAG"
"042","2018-2019","NSLDSPELLOVERPAYFLAG"
"043","2018-2019","NSLDSDATABASERESULTSFLAG"
"043","2018-2019","NSLDSMATCHFLAG"
"043","2018-2019","NSLDSPELLOVERPAYFLAG"
"044","2018-2019","PARENT1SSNMATCHFLAG"
"044","2018-2019","PARENT2SSNMATCHFLAG"
"044","2018-2019","PARENTSMARITALSTATUS"
"045","2018-2019","PARENTSMARITALSTATUS"
"046","2018-2019","ALIENREGISTRATIONNUMBER"
"046","2018-2019","CITIZENSHIPSTATUS"
"046","2018-2019","SECONDARYDHSMATCHFLAG"
"048","2018-2019","STUDENTSSN"
"049","2018-2019","PARENT1DATEOFBIRTH"
"049","2018-2019","PARENT1LASTNAME"
"049","2018-2019","PARENT1SOCIALSECURITYNUMBER"
"049","2018-2019","PARENT2DATEOFBIRTH"
"049","2018-2019","PARENT2LASTNAME"
"049","2018-2019","PARENT2SOCIALSECURITYNUMBER"
"049","2018-2019","PARENTSMARITALSTATUS"
"051","2018-2019","PARENT1SSNMATCHFLAG"
"051","2018-2019","PARENT2FIRSTNAMEINITIAL"
"051","2018-2019","PARENT2LASTNAME"
"051","2018-2019","PARENT2SSNMATCHFLAG"
"051","2018-2019","PARENTSMARITALSTATUS"
"052","2018-2019","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"053","2018-2019","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"054","2018-2019","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"056","2018-2019","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"057","2018-2019","SELECTIVESERVICEREGISTRATIONFLAG"
"058","2018-2019","DRUGCONVICTIONAFFECTINGELIGIBILITY"
"059","2018-2019","SSNMATCHFLAG"
"060","2018-2019","SSNMATCHFLAG"
"061","2018-2019","SSNMATCHFLAG"
"062","2018-2019","DATEAPPLICATIONCOMPLETED"
"062","2018-2019","STUDENTMARITALSTATUS"
"063","2018-2019","DATEOFBIRTH"
"063","2018-2019","SSNMATCHFLAG"
"064","2018-2019","SSNMATCHFLAG"
"064","2018-2019","STUDENTFIRSTNAME"
"064","2018-2019","STUDENTLASTNAME"
"065","2018-2019","NSLDSDATABASERESULTSFLAG"
"065","2018-2019","NSLDSFRAUDLOANFLAG"
"065","2018-2019","NSLDSMATCHFLAG"
"065","2018-2019","NSLDSSEOGOVERPAYFLAG"
"066","2018-2019","NSLDSDATABASERESULTSFLAG"
"066","2018-2019","NSLDSFRAUDLOANFLAG"
"066","2018-2019","NSLDSMATCHFLAG"
"066","2018-2019","NSLDSSEOGOVERPAYFLAG"
"067","2018-2019","NSLDSDATABASERESULTSFLAG"
"067","2018-2019","NSLDSFRAUDLOANFLAG"
"067","2018-2019","NSLDSMATCHFLAG"
"067","2018-2019","NSLDSSEOGOVERPAYFLAG"
"068","2018-2019","ALIENREGISTRATIONNUMBER"
"068","2018-2019","CITIZENSHIPSTATUS"
"069","2018-2019","DATEOFBIRTH"
"070","2018-2019","GRADUATEFLAG"
"071","2018-2019","PARENT1SSNMATCHFLAG"
"071","2018-2019","PARENT2SSNMATCHFLAG"
"071","2018-2019","PARENTSMARITALSTATUS"
"072","2018-2019","DATEOFBIRTH"
"073","2018-2019","STUDENTSNUMBEROFFAMILYMEMBERS"
"074","2018-2019","STUDENTSNUMBERINCOLLEGE"
"075","2018-2019","STUDENTMARITALSTATUS"
"076","2018-2019","SSNMATCHFLAG"
"077","2018-2019","NSLDSDATABASERESULTSFLAG"
"077","2018-2019","NSLDSMATCHFLAG"
"077","2018-2019","NSLDSSEOGOVERPAYFLAG"
"079","2018-2019","NSLDSDATABASERESULTSFLAG"
"079","2018-2019","NSLDSMATCHFLAG"
"079","2018-2019","NSLDSSEOGOVERPAYFLAG"
"080","2018-2019","STUDENTFIRSTNAME"
"080","2018-2019","STUDENTLASTNAME"
"081","2018-2019","DATEOFBIRTH"
"082","2018-2019","STUDENTFIRSTNAME"
"082","2018-2019","STUDENTLASTNAME"
"083","2018-2019","PARENT1SOCIALSECURITYNUMBER"
"083","2018-2019","PARENTSMARITALSTATUS"
"084","2018-2019","PARENT2SOCIALSECURITYNUMBER"
"084","2018-2019","PARENTSMARITALSTATUS"
"085","2018-2019","IRSSTUDENTAGIDATAFIELDFLAG"
"086","2018-2019","NSLDSDATABASERESULTSFLAG"
"086","2018-2019","NSLDSMATCHFLAG"
"086","2018-2019","NSLDSPERKINSOVERPAYFLAG"
"087","2018-2019","IRSSTUDENTAGIDATAFIELDFLAG"
"088","2018-2019","CITIZENSHIPSTATUS"
"089","2018-2019","PARENT1INCOMEEARNEDFROMWORK"
"089","2018-2019","PARENT2INCOMEEARNEDFROMWORK"
"089","2018-2019","PARENTSMARITALSTATUS"
"090","2018-2019","NSLDSDATABASERESULTSFLAG"
"090","2018-2019","NSLDSMATCHFLAG"
"090","2018-2019","NSLDSPERKINSOVERPAYFLAG"
"091","2018-2019","IRSSTUDENTAGIDATAFIELDFLAG"
"091","2018-2019","STUDENTSOTHERUNTAXEDINCOME"
"092","2018-2019","STUDENTSTOTALINCOME"
"093","2018-2019","DEPENDENTSTUDENTSINCOMECONTRIBUTION"
"094","2018-2019","IRSPARENTAGIDATAFIELDFLAG"
"094","2018-2019","IRSSTUDENTAGIDATAFIELDFLAG"
"095","2018-2019","STUDENTSTAXRETURNFILINGSTATUS"
"096","2018-2019","PARENT1INCOMEEARNEDFROMWORK"
"096","2018-2019","PARENT2INCOMEEARNEDFROMWORK"
"097","2018-2019","STUDENTSTAXRETURNFILINGSTATUS"
"098","2018-2019","STUDENTSTOTALINCOME"
"099","2018-2019","PARENTSMARITALSTATUS"
"099","2018-2019","SPOUSESINCOMEEARNEDFROMWORK"
"099","2018-2019","STUDENTSINCOMEEARNEDFROMWORK"
"100","2018-2019","NSLDSDATABASERESULTSFLAG"
"100","2018-2019","NSLDSMATCHFLAG"
"100","2018-2019","NSLDSPERKINSOVERPAYFLAG"
"101","2018-2019","NSLDSDATABASERESULTSFLAG"
"101","2018-2019","NSLDSMATCHFLAG"
"101","2018-2019","NSLDSPERKINSOVERPAYFLAG"
"102","2018-2019","NSLDSDATABASERESULTSFLAG"
"102","2018-2019","NSLDSMATCHFLAG"
"102","2018-2019","NSLDSPERKINSOVERPAYFLAG"
"105","2018-2019","ALIENREGISTRATIONNUMBER"
"105","2018-2019","CITIZENSHIPSTATUS"
"105","2018-2019","SECONDARYDHSMATCHFLAG"
